"","Var1","Freq"
"1","0.2327",1
"2","0.2717",2
"3","0.2873",1
"4","0.2874",1
"5","0.3067",1
"6","0.3082",1
"7","0.3092",1
"8","0.3101",4
"9","0.313",2
"10","0.3143",4
"11","0.3147",2
"12","0.3222",1
"13","0.3233",8
"14","0.3236",1
"15","0.329",2
"16","0.3293",2
"17","0.3309",1
"18","0.3419",2
"19","0.3427",1
"20","0.3432",1
"21","0.3436",10
"22","0.3455",2
"23","0.3462",1
"24","0.3509",1
"25","0.3532",3
"26","0.3539",1
"27","0.3541",6
"28","0.3577",3
"29","0.3608",1
"30","0.3638",1
"31","0.3671",1
"32","0.3686",1
"33","0.3687",4
"34","0.3696",1
"35","0.3707",1
"36","0.3713",1
"37","0.3742",1
"38","0.3775",5
"39","0.3783",1
"40","0.3792",1
"41","0.38",2
"42","0.3805",1
"43","0.3823",1
"44","0.3826",1
"45","0.3842",1
"46","0.3855",2
"47","0.3862",2
"48","0.3887",2
"49","0.3908",6
"50","0.391",2
"51","0.3928",1
"52","0.3936",4
"53","0.3937",2
"54","0.3941",6
"55","0.3943",1
"56","0.3952",4
"57","0.3953",2
"58","0.3958",10
"59","0.3978",1
"60","0.3999",1
"61","0.4003",1
"62","0.4013",1
"63","0.4037",2
"64","0.4041",2
"65","0.4058",1
"66","0.4078",1
"67","0.4088",1
"68","0.41",1
"69","0.4117",1
"70","0.4121",12
"71","0.4124",1
"72","0.4127",1
"73","0.4128",5
"74","0.413",2
"75","0.4151",1
"76","0.4152",2
"77","0.4156",1
"78","0.416",1
"79","0.4161",2
"80","0.4166",1
"81","0.417",1
"82","0.4177",1
"83","0.4181",1
"84","0.4182",3
"85","0.4188",1
"86","0.4204",1
"87","0.4208",3
"88","0.422",1
"89","0.4221",1
"90","0.4241",1
"91","0.4247",1
"92","0.4252",3
"93","0.4262",1
"94","0.4263",5
"95","0.4274",2
"96","0.4277",1
"97","0.4279",1
"98","0.4283",3
"99","0.429",1
"100","0.4307",1
"101","0.4308",1
"102","0.4312",1
"103","0.4315",2
"104","0.4316",1
"105","0.4319",3
"106","0.4333",1
"107","0.4335",1
"108","0.4347",2
"109","0.4353",1
"110","0.4354",1
"111","0.4356",2
"112","0.4357",1
"113","0.4359",1
"114","0.436",3
"115","0.4374",18
"116","0.4397",2
"117","0.4398",1
"118","0.4407",3
"119","0.4411",3
"120","0.4414",1
"121","0.4431",2
"122","0.4437",3
"123","0.4443",2
"124","0.4451",2
"125","0.4452",1
"126","0.4459",1
"127","0.4466",1
"128","0.4483",1
"129","0.4493",1
"130","0.4496",1
"131","0.4505",3
"132","0.4516",3
"133","0.452",3
"134","0.4522",1
"135","0.4523",1
"136","0.4524",1
"137","0.4526",1
"138","0.4528",2
"139","0.4531",2
"140","0.4535",1
"141","0.4546",3
"142","0.456",1
"143","0.4578",1
"144","0.4597",1
"145","0.4599",1
"146","0.4613",3
"147","0.4625",3
"148","0.4627",1
"149","0.4629",1
"150","0.4649",1
"151","0.4651",1
"152","0.4652",2
"153","0.4661",2
"154","0.4678",1
"155","0.4685",1
"156","0.4687",2
"157","0.4691",3
"158","0.4694",1
"159","0.4696",1
"160","0.4706",1
"161","0.4716",1
"162","0.4717",2
"163","0.4718",1
"164","0.4719",1
"165","0.4723",2
"166","0.4724",1
"167","0.4731",1
"168","0.4734",1
"169","0.4735",2
"170","0.4736",1
"171","0.4738",2
"172","0.4743",1
"173","0.4748",1
"174","0.4751",1
"175","0.4757",4
"176","0.4769",1
"177","0.4777",2
"178","0.4779",1
"179","0.4781",1
"180","0.4782",1
"181","0.4794",2
"182","0.4795",1
"183","0.4799",1
"184","0.4805",4
"185","0.4821",2
"186","0.4823",1
"187","0.4826",3
"188","0.484",1
"189","0.4846",1
"190","0.4851",1
"191","0.4854",1
"192","0.4861",1
"193","0.4864",1
"194","0.4868",1
"195","0.4879",2
"196","0.488",3
"197","0.4886",1
"198","0.4887",3
"199","0.4889",2
"200","0.4893",2
"201","0.4896",2
"202","0.4899",1
"203","0.4903",1
"204","0.4906",1
"205","0.4907",1
"206","0.4918",2
"207","0.4919",2
"208","0.4924",1
"209","0.4925",2
"210","0.4927",1
"211","0.4928",1
"212","0.493",1
"213","0.4931",2
"214","0.4932",1
"215","0.4945",2
