"","Var1","Freq"
"1","0.1885",1
"2","0.2227",1
"3","0.2377",4
"4","0.2489",1
"5","0.2598",1
"6","0.2658",4
"7","0.2722",2
"8","0.2776",1
"9","0.2778",1
"10","0.2863",1
"11","0.289",2
"12","0.2891",1
"13","0.2909",2
"14","0.2925",2
"15","0.2998",2
"16","0.3023",10
"17","0.3053",1
"18","0.3104",2
"19","0.3154",1
"20","0.3225",1
"21","0.3229",1
"22","0.3232",1
"23","0.3274",1
"24","0.3301",1
"25","0.3308",2
"26","0.3326",6
"27","0.3327",10
"28","0.3328",8
"29","0.3331",1
"30","0.3372",1
"31","0.3378",4
"32","0.3398",3
"33","0.3456",1
"34","0.3484",1
"35","0.3523",1
"36","0.353",5
"37","0.3533",1
"38","0.3535",3
"39","0.3548",1
"40","0.356",3
"41","0.3561",2
"42","0.3571",1
"43","0.3572",2
"44","0.3619",1
"45","0.3633",1
"46","0.3634",1
"47","0.3663",1
"48","0.3675",1
"49","0.3686",4
"50","0.3699",2
"51","0.3718",1
"52","0.3729",2
"53","0.3742",1
"54","0.3751",1
"55","0.3762",6
"56","0.3764",2
"57","0.3783",4
"58","0.3796",2
"59","0.3806",2
"60","0.3839",2
"61","0.3846",2
"62","0.3847",1
"63","0.3868",1
"64","0.3881",1
"65","0.3882",6
"66","0.39",2
"67","0.3905",1
"68","0.3917",1
"69","0.393",1
"70","0.394",1
"71","0.3942",1
"72","0.3954",1
"73","0.3957",1
"74","0.3987",4
"75","0.3999",1
"76","0.4001",2
"77","0.4004",1
"78","0.401",1
"79","0.4016",13
"80","0.4018",1
"81","0.404",2
"82","0.4042",1
"83","0.4055",1
"84","0.4071",3
"85","0.4079",1
"86","0.408",1
"87","0.4082",1
"88","0.4084",1
"89","0.4093",1
"90","0.4101",1
"91","0.411",1
"92","0.412",3
"93","0.4121",1
"94","0.413",1
"95","0.4138",1
"96","0.4139",1
"97","0.4153",1
"98","0.4156",3
"99","0.4167",1
"100","0.4179",1
"101","0.4187",5
"102","0.4194",1
"103","0.4203",2
"104","0.4217",1
"105","0.4218",3
"106","0.4219",3
"107","0.4232",1
"108","0.4233",3
"109","0.4238",1
"110","0.4239",3
"111","0.4242",18
"112","0.4249",3
"113","0.426",1
"114","0.4263",1
"115","0.4271",1
"116","0.4279",3
"117","0.4292",4
"118","0.4317",2
"119","0.4321",1
"120","0.4334",1
"121","0.4343",1
"122","0.4344",1
"123","0.436",1
"124","0.4361",2
"125","0.4369",2
"126","0.4391",2
"127","0.4401",1
"128","0.4405",1
"129","0.441",1
"130","0.4414",2
"131","0.4429",3
"132","0.4434",2
"133","0.4444",1
"134","0.4445",1
"135","0.4446",1
"136","0.4455",3
"137","0.4458",3
"138","0.4459",2
"139","0.4465",2
"140","0.4469",2
"141","0.4472",1
"142","0.4474",2
"143","0.4513",2
"144","0.453",2
"145","0.4534",1
"146","0.4543",1
"147","0.455",1
"148","0.4554",4
"149","0.4559",1
"150","0.456",2
"151","0.4569",1
"152","0.4571",2
"153","0.4573",1
"154","0.4575",1
"155","0.4587",1
"156","0.459",1
"157","0.46",2
"158","0.4612",1
"159","0.4617",1
"160","0.4619",1
"161","0.4622",1
"162","0.4625",1
"163","0.4626",4
"164","0.4637",3
"165","0.4649",1
"166","0.465",1
"167","0.4654",1
"168","0.4671",3
"169","0.4673",1
"170","0.4685",1
"171","0.4691",2
"172","0.4707",1
"173","0.4714",2
"174","0.4715",3
"175","0.4716",2
"176","0.4719",1
"177","0.4722",1
"178","0.4725",1
"179","0.4727",2
"180","0.4729",2
"181","0.4732",1
"182","0.4745",2
"183","0.4752",1
"184","0.4762",5
"185","0.4767",1
"186","0.477",3
"187","0.4775",1
"188","0.4777",2
"189","0.4781",2
"190","0.4783",3
"191","0.4788",1
"192","0.4789",1
"193","0.4805",1
"194","0.481",2
"195","0.4811",3
"196","0.4813",1
"197","0.4818",3
"198","0.482",1
"199","0.483",1
"200","0.4836",1
"201","0.4845",1
"202","0.4848",1
"203","0.486",1
"204","0.4861",1
"205","0.4863",1
"206","0.4865",1
"207","0.4868",1
"208","0.4883",1
"209","0.4885",1
"210","0.4887",1
"211","0.4891",2
"212","0.4894",3
"213","0.4895",1
"214","0.4901",1
"215","0.4902",1
"216","0.4909",2
"217","0.491",1
"218","0.4919",1
"219","0.4921",2
"220","0.4922",1
"221","0.4924",1
"222","0.4926",1
"223","0.4929",1
"224","0.4933",1
"225","0.4934",1
"226","0.4942",5
"227","0.4944",5
"228","0.4954",1
"229","0.4959",1
"230","0.4961",1
"231","0.4964",1
"232","0.4972",1
"233","0.4974",2
"234","0.4988",1
"235","0.4993",1
"236","0.4994",2
"237","0.4996",3
"238","0.4997",1
"239","0.4999",5
"240","0.5",2
"241","0.5001",2
"242","0.5002",6
"243","0.5003",2
"244","0.5015",2
"245","0.5016",1
"246","0.5018",1
"247","0.5022",1
"248","0.5029",1
"249","0.503",1
"250","0.5031",1
"251","0.5038",1
"252","0.504",2
"253","0.5043",1
"254","0.5046",1
"255","0.5049",1
"256","0.505",2
"257","0.5058",2
"258","0.5059",10
"259","0.5067",1
"260","0.507",2
"261","0.5076",1
"262","0.5077",1
"263","0.5078",2
"264","0.5087",1
"265","0.5094",1
"266","0.5098",1
"267","0.5104",2
"268","0.5105",1
"269","0.5108",2
"270","0.5112",4
"271","0.5115",1
"272","0.5126",1
"273","0.5128",3
"274","0.5132",1
"275","0.5136",1
"276","0.5144",1
"277","0.5145",1
"278","0.5148",2
"279","0.5151",1
"280","0.5157",1
"281","0.5158",2
"282","0.516",1
"283","0.5161",3
"284","0.5162",2
"285","0.5163",1
"286","0.5166",1
"287","0.5167",1
"288","0.5168",2
"289","0.5175",2
"290","0.5182",2
"291","0.5193",1
"292","0.5197",1
"293","0.5201",3
"294","0.5213",3
"295","0.5226",1
"296","0.5227",1
"297","0.5235",1
"298","0.5238",2
"299","0.5239",2
"300","0.5241",2
"301","0.5242",3
"302","0.5252",1
"303","0.5254",5
"304","0.5255",1
"305","0.5268",1
"306","0.5269",1
"307","0.5273",1
"308","0.5275",1
"309","0.5287",1
"310","0.5295",2
"311","0.5296",1
"312","0.5299",2
"313","0.5302",1
"314","0.5307",1
"315","0.531",1
"316","0.5312",1
"317","0.5315",2
"318","0.5318",2
"319","0.5321",3
"320","0.5333",1
"321","0.5344",2
"322","0.5348",3
"323","0.5351",1
"324","0.5357",1
"325","0.536",1
"326","0.5361",1
"327","0.5371",1
"328","0.5374",1
"329","0.5389",2
"330","0.5392",1
"331","0.5405",1
"332","0.5407",1
"333","0.5408",1
"334","0.5409",1
"335","0.5418",1
"336","0.5426",1
"337","0.543",1
"338","0.5431",4
"339","0.5433",2
"340","0.5436",1
"341","0.5437",2
"342","0.5439",2
"343","0.5442",2
"344","0.5445",2
"345","0.5451",5
"346","0.5454",2
"347","0.5455",1
"348","0.546",1
"349","0.5468",2
"350","0.5469",1
"351","0.5472",1
"352","0.5473",2
"353","0.5481",2
"354","0.5482",2
"355","0.5484",3
"356","0.5488",1
"357","0.5493",1
"358","0.5496",1
"359","0.5499",1
"360","0.5503",1
"361","0.5504",1
"362","0.5506",1
"363","0.5508",2
"364","0.5509",2
"365","0.5522",1
"366","0.5523",1
"367","0.553",2
"368","0.5534",1
"369","0.5538",1
"370","0.5539",1
"371","0.5545",1
"372","0.5546",2
"373","0.5547",1
"374","0.5549",1
"375","0.5553",1
"376","0.5557",1
"377","0.5561",1
"378","0.5566",3
"379","0.5569",2
"380","0.5573",1
"381","0.5588",1
"382","0.559",1
"383","0.5591",1
"384","0.5598",1
"385","0.561",1
"386","0.5612",2
"387","0.5615",2
"388","0.5621",1
"389","0.5624",2
"390","0.563",2
"391","0.5633",3
"392","0.5634",1
"393","0.5642",1
"394","0.5653",1
"395","0.5658",1
"396","0.5662",1
"397","0.5664",4
"398","0.5666",3
"399","0.5668",2
"400","0.567",5
"401","0.5679",1
"402","0.5685",1
"403","0.5693",2
"404","0.5694",1
"405","0.5695",2
"406","0.5696",1
"407","0.5705",1
"408","0.5706",1
"409","0.5712",1
"410","0.5715",1
"411","0.5717",2
"412","0.572",4
"413","0.5721",1
"414","0.5722",1
"415","0.5727",1
"416","0.5728",1
"417","0.5739",1
"418","0.574",2
"419","0.5754",1
"420","0.576",1
"421","0.5763",3
"422","0.5764",6
"423","0.5769",5
"424","0.5772",3
"425","0.5774",10
"426","0.5775",20
"427","0.5776",3
"428","0.5782",1
"429","0.5788",1
"430","0.5789",1
"431","0.5791",2
"432","0.5793",1
"433","0.5797",1
"434","0.5804",1
"435","0.5808",1
"436","0.5811",2
"437","0.5812",1
"438","0.5813",1
"439","0.5814",2
"440","0.5815",1
"441","0.5816",1
"442","0.5819",1
"443","0.5824",1
"444","0.5831",1
"445","0.5836",1
"446","0.5838",2
"447","0.584",2
"448","0.5842",1
"449","0.5844",3
"450","0.5846",1
"451","0.5848",1
"452","0.5849",1
"453","0.585",2
"454","0.5851",2
"455","0.5854",1
"456","0.5857",3
"457","0.5859",1
"458","0.5862",1
"459","0.5867",2
"460","0.5869",1
"461","0.5877",2
"462","0.5878",1
"463","0.588",1
"464","0.5881",4
"465","0.5885",10
"466","0.5886",1
"467","0.5888",2
"468","0.5891",1
"469","0.5893",15
"470","0.5894",3
"471","0.5896",3
"472","0.5897",2
"473","0.5898",1
"474","0.5902",1
"475","0.5903",1
"476","0.5904",1
"477","0.5907",3
"478","0.5909",1
"479","0.5911",2
"480","0.5915",2
"481","0.5918",1
"482","0.5919",1
"483","0.5928",4
"484","0.5929",1
"485","0.593",4
"486","0.5935",1
"487","0.5943",5
"488","0.5945",2
"489","0.5949",1
"490","0.595",1
"491","0.5954",1
"492","0.5958",2
"493","0.5961",3
"494","0.5962",4
"495","0.5964",4
"496","0.5965",1
"497","0.5966",1
"498","0.5967",1
"499","0.5968",2
"500","0.5969",3
"501","0.5975",2
"502","0.5977",1
"503","0.5978",1
"504","0.5979",2
"505","0.5981",2
"506","0.5983",2
"507","0.5988",2
"508","0.5989",2
"509","0.599",1
"510","0.5991",1
"511","0.5994",1
"512","0.5999",1
"513","0.6",1
"514","0.6004",1
"515","0.6007",1
"516","0.6011",1
"517","0.6016",1
"518","0.6018",1
"519","0.6019",2
"520","0.6023",1
"521","0.6025",2
"522","0.6028",1
"523","0.6029",3
"524","0.603",1
"525","0.6034",1
"526","0.6035",6
"527","0.6036",3
"528","0.604",2
"529","0.6046",1
"530","0.6048",11
"531","0.6051",1
"532","0.6052",2
"533","0.6053",3
"534","0.6059",1
"535","0.6061",2
"536","0.6062",1
"537","0.6064",2
"538","0.6065",1
"539","0.6066",1
"540","0.6071",2
"541","0.6073",2
"542","0.6077",3
"543","0.6079",1
"544","0.608",1
"545","0.6082",2
"546","0.6083",1
"547","0.6085",1
"548","0.6086",2
"549","0.6089",3
"550","0.609",1
"551","0.6092",1
"552","0.6097",3
"553","0.6101",1
"554","0.6105",2
"555","0.6107",2
"556","0.6113",9
"557","0.6115",1
"558","0.6117",1
"559","0.6118",1
"560","0.6122",2
"561","0.6123",1
"562","0.6124",1
"563","0.6126",1
"564","0.6128",2
"565","0.6141",7
"566","0.6142",5
"567","0.6149",1
"568","0.6153",3
"569","0.6154",7
"570","0.6158",1
"571","0.6162",1
"572","0.6163",1
"573","0.6164",1
"574","0.6165",1
"575","0.6166",2
"576","0.6168",2
"577","0.6174",1
"578","0.6179",2
"579","0.6181",2
"580","0.6182",1
"581","0.6189",2
"582","0.6192",1
"583","0.6194",1
"584","0.6195",1
"585","0.6197",2
"586","0.6199",1
"587","0.6201",1
"588","0.6206",1
"589","0.6207",1
"590","0.6211",2
"591","0.6213",2
"592","0.6217",1
"593","0.622",2
"594","0.6222",1
"595","0.6223",1
"596","0.6226",1
"597","0.6227",1
"598","0.6228",1
"599","0.6232",3
"600","0.6238",3
"601","0.6241",5
"602","0.6243",4
"603","0.6245",2
"604","0.6246",3
"605","0.6248",1
"606","0.6249",3
"607","0.625",2
"608","0.6251",1
"609","0.6252",1
"610","0.6255",1
"611","0.6258",1
"612","0.6259",1
"613","0.6264",1
"614","0.6268",2
"615","0.6269",1
"616","0.6274",1
"617","0.6277",2
"618","0.6282",2
"619","0.6283",1
"620","0.6286",1
"621","0.6289",3
"622","0.629",1
"623","0.6292",1
"624","0.6295",2
"625","0.6296",3
"626","0.6297",1
"627","0.6298",3
"628","0.6299",6
"629","0.6301",1
"630","0.6302",2
"631","0.6303",1
"632","0.6306",1
"633","0.6307",1
"634","0.6309",1
"635","0.631",6
"636","0.6312",7
"637","0.6314",1
"638","0.6317",4
"639","0.6318",1
"640","0.632",5
"641","0.6322",1
"642","0.6323",1
"643","0.6324",3
"644","0.6325",3
"645","0.6326",1
"646","0.6327",3
"647","0.6329",3
"648","0.6331",1
"649","0.6332",2
"650","0.6334",2
"651","0.6335",1
"652","0.6337",1
"653","0.6339",1
"654","0.6342",1
"655","0.6344",1
"656","0.6345",4
"657","0.6346",2
"658","0.635",3
"659","0.6351",1
"660","0.6352",3
"661","0.6354",1
"662","0.6357",1
"663","0.6358",2
"664","0.6361",3
"665","0.6363",3
"666","0.6366",1
"667","0.6371",2
"668","0.6373",1
"669","0.6374",2
"670","0.6375",1
"671","0.6376",1
"672","0.6382",1
"673","0.6383",1
"674","0.6385",1
"675","0.6386",1
"676","0.6387",2
"677","0.6389",1
"678","0.6391",1
"679","0.6392",2
"680","0.6393",1
"681","0.6394",1
"682","0.6398",9
"683","0.64",2
"684","0.6401",2
"685","0.6407",1
"686","0.6409",2
"687","0.6411",1
"688","0.6412",3
"689","0.6414",1
"690","0.6417",1
"691","0.6418",1
"692","0.6421",3
"693","0.6426",3
"694","0.6428",1
"695","0.6431",1
"696","0.6432",3
"697","0.6433",4
"698","0.6434",1
"699","0.6435",3
"700","0.6446",1
"701","0.6447",3
"702","0.645",2
"703","0.6451",2
"704","0.6453",1
"705","0.6454",1
"706","0.6456",9
"707","0.6461",1
"708","0.6462",10
"709","0.6463",3
"710","0.6474",2
"711","0.649",1
"712","0.6494",1
"713","0.6496",1
"714","0.6497",1
"715","0.6504",2
"716","0.6506",1
"717","0.6509",1
"718","0.6511",2
"719","0.6514",1
"720","0.6516",1
"721","0.6517",1
"722","0.6522",2
"723","0.6523",4
"724","0.6524",1
"725","0.6526",1
"726","0.6527",2
"727","0.6528",2
"728","0.6534",1
"729","0.6535",1
"730","0.6537",2
"731","0.6539",2
"732","0.6543",1
"733","0.6544",1
"734","0.6545",1
"735","0.6547",1
"736","0.6549",5
"737","0.655",3
"738","0.6554",1
"739","0.6556",3
"740","0.6557",1
"741","0.6558",2
"742","0.6561",2
"743","0.6562",2
