"","Var1","Freq"
"1","0.01513",2
"2","0.02452",1
"3","0.02983",1
"4","0.03906",1
"5","0.04428",1
"6","0.05221",1
"7","0.05276",2
"8","0.05355",4
"9","0.05448",4
"10","0.0613",1
"11","0.06355",2
"12","0.07309",1
"13","0.07432",1
"14","0.07975",1
"15","0.08007",2
"16","0.08039",8
"17","0.081",2
"18","0.0811",1
"19","0.08421",1
"20","0.08424",6
"21","0.09056",1
"22","0.09129",1
"23","0.09382",4
"24","0.09443",4
"25","0.09642",1
"26","0.09707",2
"27","0.0971",2
"28","0.09802",1
"29","0.09912",2
"30","0.09962",1
"31","0.1009",3
"32","0.1058",1
"33","0.1064",1
"34","0.1065",1
"35","0.1077",2
"36","0.1097",2
"37","0.11",1
"38","0.1102",5
"39","0.1103",3
"40","0.1113",3
"41","0.1118",2
"42","0.1132",6
"43","0.1135",4
"44","0.1141",2
"45","0.1147",1
"46","0.1157",1
"47","0.1233",2
"48","0.124",3
"49","0.1242",4
"50","0.1243",1
"51","0.1247",2
"52","0.1249",1
"53","0.1294",2
"54","0.1314",1
"55","0.1323",2
"56","0.1326",1
"57","0.1346",8
"58","0.1384",3
"59","0.1386",3
"60","0.1401",10
"61","0.1416",1
"62","0.1417",3
"63","0.1434",2
"64","0.1449",1
"65","0.1463",4
"66","0.1482",1
"67","0.1495",1
"68","0.151",1
"69","0.1514",10
"70","0.1529",1
"71","0.153",1
"72","0.1566",1
"73","0.1572",2
"74","0.1591",1
"75","0.1623",1
"76","0.1624",1
"77","0.1643",2
"78","0.1649",1
"79","0.165",1
"80","0.1673",1
"81","0.1679",2
"82","0.1682",5
"83","0.1697",1
"84","0.1702",1
"85","0.1709",2
"86","0.1719",1
"87","0.1726",1
"88","0.1731",1
"89","0.1733",3
"90","0.1734",1
"91","0.1735",3
"92","0.175",1
"93","0.1758",1
"94","0.1759",2
"95","0.1767",4
"96","0.1803",1
"97","0.1804",1
"98","0.1811",2
"99","0.1815",1
"100","0.1818",2
"101","0.1821",1
"102","0.1835",1
"103","0.1852",2
"104","0.1856",1
"105","0.1857",2
"106","0.1863",1
"107","0.1866",1
"108","0.1874",1
"109","0.188",2
"110","0.1881",2
"111","0.1885",1
"112","0.1889",1
"113","0.1895",1
"114","0.1896",2
"115","0.1913",1
"116","0.1917",2
"117","0.1922",2
"118","0.1926",1
"119","0.193",1
"120","0.1935",3
"121","0.1936",1
"122","0.1946",1
"123","0.1955",2
"124","0.1969",3
"125","0.1981",3
"126","0.1991",5
"127","0.1998",1
"128","0.2007",12
"129","0.2026",1
"130","0.2048",1
"131","0.2054",5
"132","0.2056",1
"133","0.2061",1
"134","0.2064",1
"135","0.2066",2
"136","0.207",3
"137","0.208",1
"138","0.2092",2
"139","0.2096",1
"140","0.2098",1
"141","0.2125",2
"142","0.2128",2
"143","0.2129",1
"144","0.2135",1
"145","0.2151",1
"146","0.2152",1
"147","0.217",1
"148","0.2174",2
"149","0.2176",2
"150","0.2177",1
"151","0.218",1
"152","0.2185",6
"153","0.2189",2
"154","0.2195",1
"155","0.2196",1
"156","0.2211",1
"157","0.2222",1
"158","0.2229",1
"159","0.223",3
"160","0.2231",1
"161","0.2233",1
"162","0.2246",1
"163","0.2271",2
"164","0.2284",1
"165","0.2285",11
"166","0.2288",2
"167","0.2296",3
"168","0.2298",18
"169","0.2317",3
"170","0.2328",1
"171","0.2342",2
"172","0.235",1
"173","0.2353",1
"174","0.2355",4
"175","0.2371",3
"176","0.2383",3
"177","0.2389",1
"178","0.24",4
"179","0.241",2
"180","0.2412",1
"181","0.2422",1
"182","0.2424",4
"183","0.2436",1
"184","0.2441",1
"185","0.2453",1
"186","0.2456",1
"187","0.2457",4
"188","0.2458",1
"189","0.2475",1
"190","0.2476",1
"191","0.2477",1
"192","0.248",1
"193","0.2484",3
"194","0.2485",1
"195","0.2489",4
"196","0.2491",5
"197","0.2496",5
"198","0.2497",2
"199","0.25",1
"200","0.2518",3
"201","0.2521",1
"202","0.2556",1
"203","0.2574",2
"204","0.2576",2
"205","0.2577",1
"206","0.2578",7
"207","0.2579",2
"208","0.2582",1
"209","0.2585",1
"210","0.2587",4
"211","0.2596",2
"212","0.2601",2
"213","0.2603",1
"214","0.2607",2
"215","0.2611",4
"216","0.2613",1
"217","0.2631",1
"218","0.2634",1
"219","0.2635",1
"220","0.2643",1
"221","0.2646",1
"222","0.2648",2
"223","0.265",1
"224","0.2652",3
"225","0.2658",1
"226","0.266",2
"227","0.2662",3
"228","0.2664",1
"229","0.2667",2
"230","0.2668",4
"231","0.2677",4
"232","0.2688",1
"233","0.2695",4
"234","0.2697",1
"235","0.2709",1
"236","0.2715",1
"237","0.2716",3
"238","0.272",1
"239","0.2721",1
"240","0.2722",1
"241","0.2727",1
"242","0.2729",2
"243","0.2734",1
"244","0.2737",5
"245","0.2741",2
"246","0.2743",1
"247","0.2759",1
"248","0.2761",1
"249","0.2769",5
"250","0.2774",1
"251","0.2777",1
"252","0.2782",1
"253","0.279",3
"254","0.2817",2
"255","0.2821",1
"256","0.2826",1
"257","0.2827",1
"258","0.2834",1
"259","0.284",8
"260","0.2846",1
"261","0.2848",2
"262","0.2853",1
"263","0.2855",3
"264","0.2856",2
"265","0.2859",2
"266","0.286",2
"267","0.2869",1
"268","0.2877",4
"269","0.288",1
"270","0.2881",9
"271","0.2882",1
"272","0.2883",5
"273","0.2892",1
"274","0.2901",1
"275","0.291",2
"276","0.2924",4
"277","0.2929",1
"278","0.2933",4
"279","0.2945",1
"280","0.2949",1
"281","0.296",2
"282","0.2966",1
"283","0.2969",1
"284","0.298",1
"285","0.2981",1
"286","0.2987",1
"287","0.2992",1
"288","0.2995",1
"289","0.2998",1
"290","0.3003",2
"291","0.3007",3
"292","0.3008",3
"293","0.3013",4
"294","0.302",2
"295","0.3038",2
"296","0.304",2
"297","0.3043",2
"298","0.3044",2
"299","0.3061",1
"300","0.3066",2
"301","0.3081",2
"302","0.3096",2
"303","0.3097",1
"304","0.3098",2
"305","0.3114",2
"306","0.3117",2
"307","0.3138",1
"308","0.3141",9
"309","0.3145",1
"310","0.3154",1
"311","0.3155",1
"312","0.3158",1
"313","0.3159",4
"314","0.316",1
"315","0.3161",5
"316","0.3166",2
"317","0.3167",4
"318","0.3173",1
"319","0.3175",2
"320","0.3178",2
"321","0.3182",2
"322","0.3184",1
"323","0.3185",2
"324","0.3187",1
"325","0.319",1
"326","0.3191",1
"327","0.3196",2
"328","0.3197",2
"329","0.32",3
"330","0.3206",1
"331","0.3207",1
"332","0.3211",1
"333","0.3212",3
"334","0.322",6
"335","0.3225",1
"336","0.3238",3
"337","0.3242",2
"338","0.3243",1
"339","0.325",2
"340","0.3256",2
"341","0.3263",1
"342","0.3266",1
"343","0.3275",1
"344","0.3276",3
"345","0.3288",4
"346","0.329",1
"347","0.3293",7
"348","0.3297",1
"349","0.3298",1
"350","0.3301",2
"351","0.332",1
"352","0.333",14
"353","0.3332",3
"354","0.3339",2
"355","0.3344",1
"356","0.3349",3
"357","0.3356",1
"358","0.3359",2
"359","0.336",1
"360","0.3371",1
"361","0.3372",2
"362","0.3375",2
"363","0.3376",2
"364","0.3388",2
"365","0.3392",1
"366","0.3401",1
"367","0.3402",1
"368","0.341",1
"369","0.3413",3
"370","0.3414",1
"371","0.3424",1
"372","0.3433",3
"373","0.3434",1
"374","0.3436",1
"375","0.3437",1
"376","0.3442",1
"377","0.3443",1
"378","0.3447",1
"379","0.3448",1
"380","0.3459",3
"381","0.3463",1
"382","0.3478",1
"383","0.348",1
"384","0.3481",1
"385","0.3482",1
"386","0.3493",1
"387","0.3497",1
"388","0.3499",2
"389","0.3506",1
"390","0.3508",2
"391","0.3509",1
"392","0.3516",2
"393","0.352",1
"394","0.3525",1
"395","0.3528",1
"396","0.3529",12
"397","0.353",1
"398","0.3531",1
"399","0.3532",3
"400","0.3533",3
"401","0.3534",3
"402","0.3536",4
"403","0.3538",3
"404","0.3543",2
"405","0.3548",1
"406","0.3579",2
"407","0.358",1
"408","0.3582",4
"409","0.3593",1
"410","0.3601",1
"411","0.3602",1
"412","0.3604",1
"413","0.3607",1
"414","0.3613",1
"415","0.3616",2
"416","0.3624",1
"417","0.3628",1
"418","0.3632",1
"419","0.3636",1
"420","0.3643",3
"421","0.3645",2
"422","0.3648",1
"423","0.3651",2
"424","0.3652",1
"425","0.3653",1
"426","0.3655",1
"427","0.3665",1
"428","0.367",1
"429","0.3698",1
"430","0.3703",1
"431","0.3706",1
"432","0.3717",1
"433","0.3723",1
"434","0.3724",1
"435","0.373",1
"436","0.3731",1
"437","0.3735",1
"438","0.3738",2
"439","0.3739",3
"440","0.3743",1
"441","0.3745",1
"442","0.3747",2
"443","0.3773",2
"444","0.3774",1
"445","0.3779",1
"446","0.378",1
"447","0.3781",2
"448","0.3783",4
"449","0.3785",1
"450","0.3789",2
"451","0.3801",1
"452","0.3802",2
"453","0.3807",2
"454","0.3808",1
"455","0.3809",1
"456","0.3813",1
"457","0.3818",1
"458","0.382",2
"459","0.3821",3
"460","0.3824",1
"461","0.3828",3
"462","0.383",1
"463","0.3831",3
"464","0.3834",4
"465","0.3842",1
"466","0.3843",2
"467","0.3846",2
"468","0.3849",5
"469","0.385",1
"470","0.3853",2
"471","0.3858",2
"472","0.3863",1
"473","0.3867",1
"474","0.3871",1
"475","0.3879",1
"476","0.3893",1
"477","0.3908",1
"478","0.3912",3
"479","0.3914",3
"480","0.392",2
"481","0.3921",1
"482","0.3935",1
"483","0.394",1
"484","0.3945",2
"485","0.395",2
"486","0.3956",1
"487","0.3957",1
"488","0.3963",2
"489","0.397",1
"490","0.3971",1
"491","0.3977",2
"492","0.3978",1
"493","0.3989",2
"494","0.3991",2
"495","0.3992",1
"496","0.3994",1
"497","0.3997",2
"498","0.4007",1
"499","0.4009",3
"500","0.4011",1
"501","0.4018",1
"502","0.4028",2
"503","0.4029",1
"504","0.4039",1
"505","0.4041",2
"506","0.4042",8
"507","0.4045",5
"508","0.4046",1
"509","0.4052",1
"510","0.4062",1
"511","0.4063",1
"512","0.4072",2
"513","0.4073",1
"514","0.4074",2
"515","0.4077",5
"516","0.4078",6
"517","0.4079",16
"518","0.408",3
"519","0.4081",6
"520","0.4082",9
"521","0.4083",5
"522","0.4084",1
"523","0.4088",1
"524","0.4094",1
"525","0.4104",2
"526","0.4106",3
"527","0.4111",1
"528","0.4112",4
"529","0.4113",2
"530","0.4122",1
"531","0.4125",2
"532","0.4129",1
"533","0.413",1
"534","0.4131",2
"535","0.4132",1
"536","0.4134",2
"537","0.4139",3
"538","0.4157",1
"539","0.4159",2
"540","0.4169",2
"541","0.4175",1
"542","0.4176",1
"543","0.4177",1
"544","0.4182",1
"545","0.4183",2
"546","0.4184",2
"547","0.4193",2
"548","0.4201",3
"549","0.4203",3
"550","0.4204",1
"551","0.421",1
"552","0.4217",1
"553","0.4227",2
"554","0.4228",1
"555","0.4232",1
"556","0.4234",1
"557","0.4236",1
"558","0.4237",1
"559","0.4242",3
"560","0.4247",1
"561","0.4251",3
"562","0.4255",1
"563","0.4258",1
"564","0.4265",1
"565","0.4269",2
"566","0.4273",4
"567","0.4276",1
"568","0.4279",2
"569","0.4292",1
"570","0.4296",3
"571","0.4303",4
"572","0.4307",1
"573","0.431",9
"574","0.4311",1
"575","0.4317",1
"576","0.4319",1
"577","0.4323",1
"578","0.4325",1
"579","0.4331",3
"580","0.4342",1
"581","0.4347",1
"582","0.4351",1
"583","0.4354",1
"584","0.4358",2
"585","0.4362",3
"586","0.4363",2
"587","0.4365",1
"588","0.4369",1
"589","0.4376",1
"590","0.4377",1
"591","0.438",2
"592","0.4382",1
"593","0.439",1
"594","0.4391",1
"595","0.4406",1
"596","0.4408",1
"597","0.4409",1
"598","0.441",2
"599","0.4412",3
"600","0.4415",3
"601","0.4416",1
"602","0.442",1
"603","0.4426",1
"604","0.443",1
"605","0.4435",1
"606","0.4438",2
"607","0.444",1
"608","0.4442",2
"609","0.4443",1
"610","0.4444",1
"611","0.4446",1
"612","0.4461",1
"613","0.4464",2
"614","0.4465",1
"615","0.4466",2
"616","0.4469",13
"617","0.4471",1
"618","0.4472",2
"619","0.4473",2
"620","0.4475",1
"621","0.4478",1
"622","0.4479",1
"623","0.4486",1
"624","0.4492",2
"625","0.4494",1
"626","0.4496",3
"627","0.451",1
"628","0.4511",1
"629","0.4512",1
"630","0.4515",1
"631","0.4521",1
