"","Var1","Freq"
"1","0.1134",4
"2","0.1165",1
"3","0.1436",1
"4","0.146",2
"5","0.1536",1
"6","0.1656",1
"7","0.1718",1
"8","0.1748",1
"9","0.1755",1
"10","0.187",2
"11","0.1895",1
"12","0.1925",2
"13","0.1941",4
"14","0.1943",2
"15","0.1958",1
"16","0.2127",6
"17","0.2184",1
"18","0.2203",2
"19","0.2205",2
"20","0.2222",1
"21","0.2241",3
"22","0.2247",2
"23","0.2252",10
"24","0.2277",1
"25","0.2283",10
"26","0.2332",8
"27","0.234",1
"28","0.2344",4
"29","0.2354",1
"30","0.2425",1
"31","0.2459",3
"32","0.2492",5
"33","0.2506",1
"34","0.252",2
"35","0.2588",1
"36","0.2621",1
"37","0.2623",1
"38","0.2633",1
"39","0.2638",6
"40","0.2656",1
"41","0.2661",1
"42","0.2666",2
"43","0.2672",2
"44","0.2674",1
"45","0.2679",2
"46","0.2691",1
"47","0.2697",1
"48","0.2711",1
"49","0.2742",2
"50","0.2748",1
"51","0.275",2
"52","0.2755",1
"53","0.2789",1
"54","0.2803",2
"55","0.2818",1
"56","0.2837",6
"57","0.2859",1
"58","0.2883",1
"59","0.2884",2
"60","0.2886",3
"61","0.2887",1
"62","0.2911",2
"63","0.2917",1
"64","0.2946",2
"65","0.2987",2
"66","0.3002",1
"67","0.3011",1
"68","0.3018",4
"69","0.302",2
"70","0.3045",2
"71","0.3046",5
"72","0.3057",1
"73","0.3063",3
"74","0.3068",1
"75","0.3073",2
"76","0.3074",2
"77","0.3111",1
"78","0.3112",1
"79","0.3117",1
"80","0.3118",1
"81","0.3128",1
"82","0.313",2
"83","0.3131",1
"84","0.3133",4
"85","0.314",1
"86","0.3144",1
"87","0.3148",1
"88","0.3149",2
"89","0.3155",2
"90","0.3157",3
"91","0.3166",1
"92","0.3197",1
"93","0.3204",2
"94","0.3214",3
"95","0.3216",1
"96","0.3252",18
"97","0.3255",2
"98","0.3266",1
"99","0.328",3
"100","0.3286",2
"101","0.3298",6
"102","0.3307",2
"103","0.3316",1
"104","0.3326",1
"105","0.3328",2
"106","0.333",1
"107","0.3331",1
"108","0.3337",2
"109","0.334",1
"110","0.3341",12
"111","0.3343",1
"112","0.3344",2
"113","0.3354",1
"114","0.3363",1
"115","0.3364",1
"116","0.3371",2
"117","0.3373",4
"118","0.3374",1
"119","0.3387",1
"120","0.3409",2
"121","0.341",1
"122","0.3414",1
"123","0.3444",1
"124","0.3447",1
"125","0.3449",2
"126","0.3451",2
"127","0.3454",1
"128","0.3456",3
"129","0.3464",3
"130","0.3472",1
"131","0.3477",3
"132","0.3502",1
"133","0.351",3
"134","0.3512",1
"135","0.3525",5
"136","0.3527",2
"137","0.353",4
"138","0.3535",1
"139","0.3543",1
"140","0.3552",1
"141","0.3553",3
"142","0.3556",1
"143","0.356",1
"144","0.357",1
"145","0.3576",1
"146","0.3579",1
"147","0.3622",3
"148","0.3623",1
"149","0.3628",2
"150","0.3635",1
"151","0.3642",1
"152","0.3646",1
"153","0.3651",1
"154","0.3659",2
"155","0.366",1
"156","0.3669",1
"157","0.3701",1
"158","0.3705",1
"159","0.3706",1
"160","0.3713",3
"161","0.3723",1
"162","0.3754",1
"163","0.3762",3
"164","0.3766",2
"165","0.3773",3
"166","0.378",2
"167","0.3783",3
"168","0.3785",3
"169","0.3788",1
"170","0.3791",1
"171","0.3803",3
"172","0.3806",3
"173","0.3818",3
"174","0.3823",2
"175","0.384",1
"176","0.3848",6
"177","0.3852",1
"178","0.3855",1
"179","0.3859",2
"180","0.3862",1
"181","0.3868",1
"182","0.3869",1
"183","0.3875",3
"184","0.3886",1
"185","0.3891",1
"186","0.3895",1
"187","0.3917",1
"188","0.3918",1
"189","0.3919",1
"190","0.392",1
"191","0.3924",1
"192","0.3949",1
"193","0.3971",1
"194","0.3972",1
"195","0.3985",3
"196","0.3988",1
"197","0.3991",2
"198","0.3994",2
"199","0.3995",1
"200","0.3996",5
"201","0.401",1
"202","0.4011",1
"203","0.4023",1
"204","0.4026",1
"205","0.4028",2
"206","0.4038",1
"207","0.4043",1
"208","0.4054",2
"209","0.4069",1
"210","0.4071",1
"211","0.4074",1
"212","0.408",8
"213","0.4081",1
"214","0.4082",2
"215","0.4085",2
"216","0.4098",1
"217","0.4107",3
"218","0.4117",3
"219","0.4134",1
"220","0.414",1
"221","0.4151",1
"222","0.4155",2
"223","0.4156",7
"224","0.4157",2
"225","0.416",5
"226","0.4161",2
"227","0.4164",2
"228","0.4165",1
"229","0.4171",1
"230","0.4172",1
"231","0.4174",3
"232","0.418",1
"233","0.4191",2
"234","0.4195",1
"235","0.4201",1
"236","0.4202",1
"237","0.4203",1
"238","0.4208",2
"239","0.4212",1
"240","0.4214",8
"241","0.4224",1
"242","0.4228",5
"243","0.4234",3
"244","0.4236",1
"245","0.4241",1
"246","0.4247",1
"247","0.4248",1
"248","0.4263",1
"249","0.4267",1
"250","0.4274",1
"251","0.4278",1
"252","0.429",1
"253","0.4294",1
"254","0.4306",1
"255","0.4313",1
"256","0.4328",1
"257","0.4329",1
"258","0.433",1
"259","0.4331",2
"260","0.4333",1
"261","0.4334",1
"262","0.4336",5
"263","0.4352",1
"264","0.4358",1
"265","0.436",3
"266","0.4361",1
"267","0.4366",1
"268","0.4371",2
"269","0.4375",4
"270","0.4382",1
"271","0.4386",1
"272","0.4387",2
"273","0.4389",2
"274","0.4403",1
"275","0.4404",2
"276","0.4417",1
"277","0.4419",2
"278","0.442",3
"279","0.4424",1
"280","0.4426",1
"281","0.4432",1
"282","0.4439",1
"283","0.4443",1
"284","0.4454",1
"285","0.4459",1
"286","0.4462",4
"287","0.4463",2
"288","0.4466",1
"289","0.4467",1
"290","0.4471",2
"291","0.4472",13
"292","0.4474",9
"293","0.4483",2
"294","0.4485",1
"295","0.4496",2
"296","0.4509",1
"297","0.451",4
"298","0.4516",3
"299","0.4517",2
"300","0.452",2
"301","0.4522",3
"302","0.4526",2
"303","0.4532",2
"304","0.4538",2
"305","0.4543",1
"306","0.4548",1
"307","0.4549",4
"308","0.4551",3
"309","0.4566",2
"310","0.4572",1
"311","0.4584",1
"312","0.4586",1
"313","0.4588",1
"314","0.4589",1
"315","0.4595",2
"316","0.4597",2
"317","0.4601",1
"318","0.4604",1
"319","0.4607",1
"320","0.4608",1
"321","0.4617",2
"322","0.462",1
"323","0.4623",1
"324","0.4624",1
"325","0.4626",2
"326","0.4628",2
"327","0.4632",2
"328","0.4637",1
"329","0.4642",2
"330","0.4654",1
"331","0.4663",1
"332","0.4666",1
"333","0.4669",2
"334","0.4674",1
"335","0.4687",1
"336","0.4691",1
"337","0.4695",2
"338","0.4697",1
"339","0.4707",1
"340","0.4708",1
"341","0.4712",5
"342","0.4714",3
"343","0.4715",3
"344","0.4717",2
"345","0.4718",1
"346","0.4726",2
"347","0.473",1
"348","0.4733",2
"349","0.474",1
"350","0.4741",3
"351","0.4743",1
"352","0.4745",2
"353","0.4747",2
"354","0.4749",1
"355","0.475",1
"356","0.4751",1
"357","0.4757",1
"358","0.476",3
"359","0.4765",1
"360","0.4782",2
"361","0.4783",1
"362","0.4796",3
"363","0.4798",2
"364","0.4805",3
"365","0.4808",1
"366","0.4809",2
"367","0.481",1
"368","0.4815",2
"369","0.4818",2
"370","0.4824",1
"371","0.4827",1
"372","0.4832",3
"373","0.4833",2
"374","0.4842",1
"375","0.4843",1
"376","0.4846",1
"377","0.4852",2
"378","0.4868",3
"379","0.4875",2
"380","0.4888",1
"381","0.4896",2
"382","0.4899",1
"383","0.4908",1
"384","0.491",1
"385","0.4913",1
"386","0.4919",1
"387","0.4921",1
"388","0.4948",1
"389","0.4949",1
"390","0.4952",2
"391","0.4955",1
"392","0.4959",2
"393","0.496",1
"394","0.4966",1
"395","0.4971",1
"396","0.4977",1
"397","0.4978",2
"398","0.4983",1
"399","0.4987",1
"400","0.4991",1
"401","0.4994",4
"402","0.4995",1
"403","0.4997",1
"404","0.4998",1
"405","0.4999",3
"406","0.5",21
"407","0.5001",22
"408","0.5002",5
"409","0.5013",2
"410","0.5015",1
"411","0.5027",1
"412","0.5031",1
"413","0.5039",1
"414","0.5042",1
"415","0.5048",1
"416","0.5053",1
"417","0.5057",1
"418","0.5059",1
"419","0.5068",1
"420","0.5074",3
"421","0.5086",1
"422","0.509",2
"423","0.5092",2
"424","0.5096",3
"425","0.5105",2
"426","0.511",1
"427","0.5124",1
"428","0.5127",1
"429","0.5132",1
"430","0.5133",1
"431","0.5137",3
"432","0.5138",2
"433","0.5152",1
"434","0.5153",2
"435","0.5157",2
"436","0.5159",4
"437","0.516",2
"438","0.5161",1
"439","0.5166",7
"440","0.5167",1
"441","0.5169",2
"442","0.517",1
"443","0.5172",1
"444","0.5173",2
"445","0.5174",2
"446","0.5175",1
"447","0.5176",7
"448","0.5177",1
"449","0.5195",1
"450","0.5199",1
"451","0.5205",1
"452","0.5207",1
"453","0.5211",2
"454","0.5213",2
"455","0.5217",1
"456","0.5218",1
"457","0.5221",1
"458","0.5226",1
"459","0.5227",1
"460","0.5231",1
"461","0.5234",2
"462","0.5238",3
"463","0.5242",1
"464","0.5243",3
"465","0.5245",4
"466","0.5246",2
"467","0.5268",2
"468","0.5281",1
"469","0.5288",3
"470","0.5295",1
"471","0.5302",1
"472","0.5303",8
"473","0.5304",1
"474","0.5305",2
"475","0.532",1
"476","0.5322",1
"477","0.5325",2
"478","0.5329",4
"479","0.533",1
"480","0.5333",1
"481","0.5336",1
"482","0.5338",2
"483","0.5339",1
"484","0.5343",1
"485","0.5347",1
"486","0.535",1
"487","0.5356",1
"488","0.5362",6
"489","0.5363",1
"490","0.5366",1
"491","0.537",1
"492","0.5372",2
"493","0.5375",1
"494","0.538",2
"495","0.5381",1
"496","0.5384",2
"497","0.5385",1
"498","0.5387",2
"499","0.5388",1
"500","0.539",1
"501","0.5395",1
"502","0.5396",1
"503","0.5402",1
"504","0.541",1
"505","0.5413",2
"506","0.5417",1
"507","0.542",1
"508","0.5422",1
"509","0.5424",1
"510","0.543",1
"511","0.5431",1
"512","0.5433",3
"513","0.5437",1
"514","0.544",1
"515","0.5442",1
"516","0.5444",1
"517","0.5458",1
"518","0.5465",1
"519","0.5467",4
"520","0.5473",1
"521","0.5476",1
"522","0.5477",1
"523","0.5479",1
"524","0.548",2
"525","0.5487",1
"526","0.5489",1
"527","0.5493",2
"528","0.5495",3
"529","0.5496",1
"530","0.5497",1
"531","0.5498",2
"532","0.5501",1
"533","0.5503",1
"534","0.551",1
"535","0.5512",3
"536","0.5513",1
"537","0.5519",2
"538","0.5522",1
"539","0.5524",3
"540","0.5526",2
"541","0.5528",2
"542","0.553",1
"543","0.5531",1
"544","0.5537",1
"545","0.5538",2
"546","0.5543",2
"547","0.5546",3
"548","0.5547",2
"549","0.5548",2
"550","0.555",2
"551","0.5551",4
"552","0.5552",1
"553","0.5556",1
"554","0.5558",1
"555","0.5559",1
"556","0.5564",3
"557","0.5566",1
"558","0.5567",1
"559","0.5568",2
"560","0.557",3
"561","0.5572",1
"562","0.5573",1
"563","0.5574",3
"564","0.5577",1
"565","0.5578",3
"566","0.558",4
"567","0.5581",2
"568","0.5586",1
"569","0.5588",1
"570","0.5592",1
"571","0.5597",2
"572","0.56",8
"573","0.5602",3
"574","0.5604",1
"575","0.5605",1
"576","0.5608",3
"577","0.5609",1
"578","0.561",1
"579","0.5613",2
"580","0.5614",1
"581","0.5615",1
"582","0.562",3
"583","0.5621",1
"584","0.5632",2
"585","0.5633",3
"586","0.5634",1
"587","0.5635",1
"588","0.5641",2
"589","0.5643",1
"590","0.5644",1
"591","0.5645",2
"592","0.5646",1
"593","0.5653",2
"594","0.5654",1
"595","0.5655",2
"596","0.5656",1
"597","0.5657",2
"598","0.5658",1
"599","0.5659",2
"600","0.5666",1
"601","0.5667",2
"602","0.5669",2
"603","0.567",3
"604","0.5672",5
"605","0.5674",3
"606","0.5677",4
"607","0.5678",3
"608","0.5686",1
"609","0.5688",1
"610","0.5694",1
"611","0.5695",1
"612","0.5696",3
"613","0.5697",1
"614","0.5699",3
"615","0.5703",2
"616","0.5706",1
"617","0.5707",2
"618","0.5708",1
"619","0.571",2
"620","0.5713",1
"621","0.5714",2
"622","0.5715",1
"623","0.5717",1
"624","0.5724",1
"625","0.5725",1
"626","0.5732",2
"627","0.5733",1
"628","0.5736",2
"629","0.574",2
"630","0.5743",1
"631","0.5745",1
"632","0.5747",2
"633","0.5753",4
"634","0.5757",3
"635","0.5759",4
"636","0.5766",2
"637","0.5767",1
"638","0.5768",1
"639","0.5769",6
"640","0.577",3
"641","0.5771",6
"642","0.5772",7
"643","0.5773",14
"644","0.5774",16
"645","0.5775",15
"646","0.5776",6
"647","0.5777",1
"648","0.5782",1
"649","0.5783",2
"650","0.5785",1
"651","0.5789",4
"652","0.5791",2
"653","0.5792",1
"654","0.5801",7
"655","0.5806",2
"656","0.5812",1
"657","0.5814",2
"658","0.5816",1
"659","0.5821",2
"660","0.5822",1
"661","0.5823",2
"662","0.5824",1
"663","0.5826",1
"664","0.5831",2
"665","0.5836",1
"666","0.5837",2
"667","0.5839",1
"668","0.5842",2
"669","0.5849",1
"670","0.5852",1
"671","0.5853",2
"672","0.5857",1
"673","0.5861",1
"674","0.5862",1
"675","0.5866",1
"676","0.5867",1
"677","0.5868",2
"678","0.5871",1
"679","0.5877",1
"680","0.5878",7
"681","0.588",2
"682","0.5883",2
"683","0.5884",1
"684","0.5892",2
"685","0.5895",1
"686","0.59",1
"687","0.5902",2
"688","0.5903",8
"689","0.5907",1
"690","0.5909",1
"691","0.591",1
"692","0.5914",2
"693","0.5919",1
"694","0.592",1
"695","0.5923",2
"696","0.5924",2
"697","0.5928",1
"698","0.593",2
"699","0.5932",3
"700","0.5934",1
"701","0.5935",1
"702","0.5936",2
"703","0.5938",1
"704","0.5939",1
"705","0.594",1
"706","0.5945",1
"707","0.5947",1
"708","0.5948",1
"709","0.5949",1
"710","0.595",5
"711","0.5951",1
"712","0.5952",2
"713","0.5954",1
"714","0.5956",1
"715","0.5958",3
"716","0.596",1
"717","0.5965",1
"718","0.5966",1
"719","0.5968",2
"720","0.5972",1
"721","0.5978",1
"722","0.598",1
"723","0.5981",1
"724","0.5983",1
"725","0.5984",3
"726","0.5986",1
"727","0.5987",1
"728","0.5989",1
"729","0.5995",2
"730","0.5996",1
"731","0.5999",1
"732","0.6003",1
"733","0.6014",1
"734","0.6015",4
"735","0.6017",1
"736","0.6019",1
"737","0.6022",5
"738","0.6024",1
"739","0.6027",1
"740","0.6035",1
"741","0.6038",1
"742","0.6041",1
"743","0.6042",1
"744","0.6045",4
"745","0.6053",1
"746","0.6056",1
"747","0.606",5
"748","0.6064",3
"749","0.6068",2
"750","0.607",1
"751","0.6073",1
"752","0.6074",1
"753","0.6076",3
"754","0.6077",1
"755","0.608",1
"756","0.6082",2
"757","0.6084",3
"758","0.6089",3
"759","0.6092",3
"760","0.6094",1
"761","0.6103",1
"762","0.6109",1
"763","0.611",1
"764","0.6116",9
"765","0.6118",1
"766","0.6119",1
"767","0.612",1
"768","0.6121",6
"769","0.6122",2
"770","0.6123",3
"771","0.6124",3
"772","0.6126",4
"773","0.6132",1
"774","0.6134",1
"775","0.6138",1
"776","0.6142",2
"777","0.6146",1
"778","0.6147",1
"779","0.6149",3
"780","0.6151",1
"781","0.6153",1
"782","0.6154",1
"783","0.6157",2
"784","0.6159",2
"785","0.6161",1
"786","0.6162",1
"787","0.6164",1
"788","0.6167",3
"789","0.6169",3
"790","0.6172",2
"791","0.6174",5
"792","0.6175",3
"793","0.6176",1
"794","0.6177",1
"795","0.6182",2
"796","0.6187",1
"797","0.6188",1
"798","0.6189",2
"799","0.6194",3
"800","0.6195",1
"801","0.6196",3
"802","0.6199",1
"803","0.6205",1
"804","0.6208",1
"805","0.621",2
"806","0.6211",1
"807","0.6212",1
"808","0.6214",1
"809","0.6217",1
"810","0.6222",2
"811","0.6223",1
"812","0.6224",1
"813","0.6227",1
"814","0.6228",1
"815","0.623",1
"816","0.6232",1
"817","0.6233",1
"818","0.6234",3
"819","0.6237",2
"820","0.6238",1
"821","0.6239",2
"822","0.624",2
"823","0.6243",1
"824","0.6244",1
"825","0.6247",1
"826","0.6248",2
"827","0.6249",1
"828","0.6253",1
"829","0.6254",2
"830","0.6255",2
"831","0.6256",2
"832","0.6258",1
"833","0.626",4
"834","0.6261",1
"835","0.6264",1
"836","0.6265",1
"837","0.6272",2
"838","0.6273",2
"839","0.6277",1
"840","0.6278",1
"841","0.6279",3
"842","0.628",2
"843","0.6281",2
"844","0.6287",2
"845","0.6289",4
"846","0.629",2
"847","0.6291",1
"848","0.6292",1
"849","0.6293",3
"850","0.6295",1
"851","0.6296",2
"852","0.6298",1
"853","0.63",2
"854","0.6301",1
"855","0.6302",1
"856","0.6305",2
"857","0.6307",4
"858","0.6308",1
"859","0.6314",1
"860","0.6315",1
"861","0.632",1
"862","0.6321",1
"863","0.6322",2
"864","0.6324",2
"865","0.6325",1
"866","0.6326",8
"867","0.6327",2
"868","0.6328",1
"869","0.6329",2
"870","0.6332",1
"871","0.6333",1
"872","0.6335",3
"873","0.6336",3
"874","0.6339",1
"875","0.6343",1
"876","0.6345",1
"877","0.6347",2
"878","0.635",1
"879","0.6351",2
"880","0.6356",1
"881","0.6357",2
"882","0.6358",2
"883","0.6359",3
"884","0.636",1
"885","0.6362",3
"886","0.6363",1
"887","0.6364",1
"888","0.6366",1
"889","0.637",1
"890","0.6372",2
"891","0.6373",2
"892","0.6377",2
"893","0.6379",1
"894","0.6381",2
"895","0.6384",1
"896","0.6386",1
"897","0.6387",1
"898","0.6388",1
"899","0.639",1
"900","0.6391",1
"901","0.6392",2
"902","0.6393",1
"903","0.6397",1
"904","0.6398",1
"905","0.6399",1
"906","0.6401",2
"907","0.6405",2
"908","0.6407",1
"909","0.6408",1
"910","0.641",2
"911","0.6411",1
"912","0.6412",1
"913","0.6415",1
"914","0.6416",2
"915","0.6419",2
"916","0.642",1
"917","0.6421",2
"918","0.6424",1
"919","0.6425",1
"920","0.6426",2
"921","0.6428",1
"922","0.6429",1
"923","0.643",1
"924","0.6431",1
"925","0.6433",1
"926","0.6436",1
"927","0.6442",2
"928","0.6443",3
"929","0.6444",1
"930","0.6445",1
"931","0.6446",4
"932","0.6447",2
"933","0.645",2
"934","0.6451",4
"935","0.6452",3
"936","0.6454",2
"937","0.6455",2
"938","0.6456",4
"939","0.6461",1
"940","0.6463",2
"941","0.6465",4
"942","0.6467",1
"943","0.6471",1
"944","0.6472",3
"945","0.6473",2
"946","0.6474",1
"947","0.6478",3
"948","0.6484",1
"949","0.6488",1
"950","0.649",1
"951","0.6495",1
"952","0.6499",1
"953","0.6501",2
"954","0.6502",1
"955","0.6505",2
"956","0.6507",2
"957","0.6509",1
"958","0.6513",3
"959","0.6514",4
"960","0.6515",1
"961","0.652",2
"962","0.6521",2
"963","0.6522",1
"964","0.6524",1
"965","0.6525",1
"966","0.6527",1
"967","0.6532",1
"968","0.6535",1
"969","0.6536",1
"970","0.6538",1
"971","0.6543",1
"972","0.6544",2
"973","0.6545",4
"974","0.6546",1
"975","0.6549",2
"976","0.655",2
"977","0.6556",1
"978","0.6561",2
"979","0.6562",1
"980","0.6564",1
"981","0.6565",1
"982","0.6566",2
"983","0.6569",1
"984","0.6571",2
"985","0.6578",1
"986","0.658",2
"987","0.6583",4
"988","0.659",1
"989","0.6591",1
"990","0.6594",1
"991","0.6599",2
"992","0.6602",1
"993","0.6604",5
"994","0.6607",1
"995","0.6608",1
"996","0.6609",2
"997","0.6615",1
"998","0.6617",1
"999","0.6618",2
"1000","0.6619",3
"1001","0.662",1
"1002","0.6621",1
"1003","0.6622",1
"1004","0.6624",1
"1005","0.6626",1
"1006","0.6627",1
"1007","0.6631",1
"1008","0.6634",1
"1009","0.6636",2
"1010","0.6638",1
"1011","0.664",1
"1012","0.6647",2
"1013","0.6649",2
"1014","0.665",1
"1015","0.6656",2
"1016","0.6657",4
"1017","0.666",1
"1018","0.6662",1
"1019","0.6664",4
"1020","0.6665",3
"1021","0.6666",14
"1022","0.6667",13
"1023","0.6668",4
"1024","0.667",1
"1025","0.6675",2
"1026","0.6676",1
"1027","0.6677",1
"1028","0.6679",1
"1029","0.668",1
"1030","0.6683",2
"1031","0.6684",2
"1032","0.6685",1
"1033","0.6686",1
"1034","0.6687",2
"1035","0.6688",1
"1036","0.6689",1
"1037","0.669",6
"1038","0.6691",2
"1039","0.6692",1
"1040","0.6696",3
"1041","0.67",2
"1042","0.6702",1
"1043","0.6703",3
"1044","0.6705",3
"1045","0.6706",5
"1046","0.6707",2
"1047","0.6708",5
"1048","0.6709",1
