"","Var1","Freq"
"1","-0.00512",1
"2","-0.003747",1
"3","0.1501",1
"4","0.179",1
"5","0.2972",1
"6","0.2988",1
"7","0.3091",1
"8","0.3092",1
"9","0.3102",1
"10","0.3111",1
"11","0.329",1
"12","0.3351",1
"13","0.3375",1
"14","0.3377",1
"15","0.3396",1
"16","0.3405",1
"17","0.3415",1
"18","0.3436",1
"19","0.345",1
"20","0.3468",1
"21","0.3483",1
"22","0.3503",1
"23","0.3533",1
"24","0.3589",1
"25","0.3616",1
"26","0.3644",1
"27","0.3665",1
"28","0.3683",1
"29","0.3686",1
"30","0.3693",1
"31","0.374",1
"32","0.3765",1
"33","0.3781",1
"34","0.3829",1
"35","0.3845",1
"36","0.3898",1
"37","0.3911",1
"38","0.3931",1
"39","0.3974",1
"40","0.3987",1
"41","0.4",1
"42","0.4013",1
"43","0.4017",1
"44","0.4029",1
"45","0.403",1
"46","0.407",1
"47","0.4085",1
"48","0.4094",2
"49","0.4099",1
"50","0.412",1
"51","0.4126",1
"52","0.4128",1
"53","0.415",1
"54","0.4165",1
"55","0.4182",1
"56","0.4189",1
"57","0.42",1
"58","0.421",1
"59","0.4217",1
"60","0.422",1
"61","0.423",1
"62","0.4234",1
"63","0.4243",1
"64","0.4251",1
"65","0.4253",1
"66","0.426",1
"67","0.4305",1
"68","0.4311",1
"69","0.4317",1
"70","0.4322",1
"71","0.4329",1
"72","0.4392",1
"73","0.4393",1
"74","0.4397",1
"75","0.4403",1
"76","0.4424",1
"77","0.4443",1
"78","0.4446",1
"79","0.4447",1
"80","0.4457",1
"81","0.4463",1
"82","0.4468",1
"83","0.4495",1
"84","0.4501",2
"85","0.4514",1
"86","0.4527",1
"87","0.453",1
"88","0.4534",1
"89","0.4551",2
"90","0.4585",1
"91","0.4595",1
"92","0.4606",1
"93","0.4617",1
"94","0.4648",1
"95","0.465",1
"96","0.4658",1
"97","0.4678",1
"98","0.4686",1
"99","0.4696",1
"100","0.4697",1
"101","0.4714",1
"102","0.4744",1
"103","0.4745",1
"104","0.4766",1
"105","0.4793",1
"106","0.4795",1
"107","0.4815",1
"108","0.4826",1
"109","0.4833",2
"110","0.4834",1
"111","0.4835",1
"112","0.484",1
"113","0.4844",1
"114","0.4852",1
"115","0.4858",1
"116","0.4878",2
"117","0.488",1
"118","0.4902",1
"119","0.4904",1
"120","0.4906",1
"121","0.4908",1
"122","0.4924",1
"123","0.4928",1
"124","0.493",3
"125","0.4935",2
"126","0.4943",1
"127","0.4954",1
"128","0.4964",1
"129","0.4978",1
"130","0.4983",1
"131","0.4988",1
"132","0.4991",1
"133","0.4995",1
"134","0.5003",1
"135","0.5004",1
"136","0.5006",1
"137","0.5009",1
"138","0.5021",1
"139","0.5036",1
"140","0.5038",1
"141","0.5039",1
"142","0.5042",1
"143","0.5049",1
"144","0.5057",1
"145","0.5066",1
"146","0.5067",1
"147","0.5074",1
"148","0.5076",1
"149","0.5077",1
"150","0.5082",1
"151","0.5083",1
"152","0.5085",1
"153","0.5089",1
"154","0.5098",1
"155","0.51",1
"156","0.5103",1
"157","0.5114",1
"158","0.5116",1
"159","0.5133",1
"160","0.5136",1
"161","0.5144",1
"162","0.515",1
"163","0.5151",1
"164","0.5158",1
"165","0.5166",1
"166","0.5185",1
"167","0.5191",1
"168","0.5194",1
"169","0.5196",2
"170","0.5197",1
"171","0.5199",1
"172","0.5202",1
"173","0.5205",1
"174","0.5207",1
"175","0.5222",1
"176","0.5239",2
"177","0.524",1
"178","0.5241",1
"179","0.5255",2
"180","0.5258",1
"181","0.5262",1
"182","0.5266",1
