"","Var1","Freq"
"1","-0.00512",1
"2","-0.003747",1
"3","0.07948",1
"4","0.09307",1
"5","0.09559",1
"6","0.1034",1
"7","0.1054",1
"8","0.1142",1
"9","0.1276",1
"10","0.1311",1
"11","0.1312",1
"12","0.1339",1
"13","0.1363",3
"14","0.1384",1
"15","0.1406",2
"16","0.1468",1
"17","0.1522",1
"18","0.1561",1
"19","0.1624",1
"20","0.1628",1
"21","0.1696",2
"22","0.1698",1
"23","0.179",1
"24","0.1808",1
"25","0.1837",1
"26","0.184",1
"27","0.1842",1
"28","0.1855",1
"29","0.1873",2
"30","0.1874",1
"31","0.1889",1
"32","0.1908",2
"33","0.1929",1
"34","0.193",1
"35","0.1945",1
"36","0.1948",1
"37","0.1951",1
"38","0.1986",1
"39","0.2019",1
"40","0.2049",1
"41","0.2111",1
"42","0.2118",1
"43","0.2141",1
"44","0.2143",1
"45","0.2198",1
"46","0.2225",1
"47","0.2226",1
"48","0.228",1
"49","0.2281",3
"50","0.2344",3
"51","0.2348",1
"52","0.2373",1
"53","0.2413",2
"54","0.2453",1
"55","0.2472",1
"56","0.2487",1
"57","0.2498",1
"58","0.2518",1
"59","0.256",1
"60","0.2571",2
"61","0.2598",1
"62","0.26",1
"63","0.2639",1
"64","0.2662",3
"65","0.2663",1
"66","0.2806",1
"67","0.2808",1
"68","0.2825",1
"69","0.2877",1
"70","0.2893",1
"71","0.3006",1
"72","0.3063",1
"73","0.3084",1
"74","0.3098",1
"75","0.3099",1
"76","0.3118",1
"77","0.3119",1
"78","0.3134",1
"79","0.3144",1
"80","0.3146",1
"81","0.3148",1
"82","0.3153",2
"83","0.3159",1
"84","0.3207",1
"85","0.325",1
"86","0.3261",1
"87","0.3274",1
"88","0.3326",2
"89","0.3343",1
"90","0.3355",1
"91","0.3411",1
"92","0.3416",1
"93","0.3438",1
"94","0.3447",1
"95","0.3452",1
"96","0.3491",1
"97","0.3514",1
"98","0.3527",1
"99","0.3528",1
"100","0.3565",1
"101","0.3596",1
"102","0.3603",1
"103","0.3608",1
"104","0.3613",1
"105","0.366",1
"106","0.3701",1
"107","0.3703",1
"108","0.3713",1
"109","0.3715",1
"110","0.3726",1
"111","0.3759",1
"112","0.3765",1
"113","0.3774",1
"114","0.378",1
"115","0.3793",1
"116","0.3801",1
"117","0.3812",1
"118","0.3827",1
"119","0.3859",1
"120","0.3872",1
"121","0.3903",1
"122","0.3926",1
"123","0.3946",1
"124","0.3977",1
"125","0.3984",1
"126","0.3995",1
"127","0.4027",1
"128","0.4073",1
"129","0.4077",1
"130","0.4096",1
"131","0.4098",1
"132","0.4112",1
"133","0.4128",1
"134","0.4133",1
"135","0.4136",1
"136","0.414",1
"137","0.4145",1
"138","0.4146",1
"139","0.4176",1
"140","0.4201",1
"141","0.4208",1
"142","0.4226",1
"143","0.4235",1
"144","0.4238",1
"145","0.4268",1
"146","0.428",1
"147","0.4283",1
"148","0.4284",1
"149","0.4302",1
"150","0.4304",1
"151","0.4333",2
"152","0.434",1
"153","0.4351",1
"154","0.4387",1
"155","0.4389",1
"156","0.439",1
"157","0.4406",1
"158","0.4415",1
"159","0.4418",1
"160","0.4425",1
"161","0.4428",1
"162","0.4435",1
"163","0.4449",1
"164","0.4468",1
"165","0.447",2
"166","0.4477",1
"167","0.4478",1
"168","0.4481",1
"169","0.449",1
"170","0.4491",1
"171","0.4525",1
"172","0.4535",1
"173","0.4556",1
"174","0.4562",1
"175","0.4594",2
"176","0.4597",1
"177","0.4598",1
"178","0.4605",1
"179","0.4625",2
"180","0.4642",1
"181","0.4674",1
