"","Var1","Freq"
"1","-0.006648",1
"2","-0.005284",1
"3","-0.00512",1
"4","-0.004924",1
"5","-0.003845",1
"6","-0.003747",1
"7","-0.001872",1
"8","-0.001675",1
"9","-0.001626",1
"10","-0.00161",1
"11","-0.001435",1
"12","-0.001378",1
"13","-0.0009723",1
"14","-0.0007933",1
"15","0.007873",1
"16","0.009019",1
"17","0.01062",1
"18","0.01643",1
"19","0.01987",1
"20","0.02261",1
"21","0.02266",1
"22","0.02314",1
"23","0.02564",1
"24","0.02663",1
"25","0.0274",1
"26","0.02782",1
"27","0.02817",1
"28","0.03151",1
"29","0.03336",1
"30","0.03408",1
"31","0.03475",1
"32","0.03802",1
"33","0.03934",1
"34","0.0398",1
"35","0.04095",1
"36","0.04157",1
"37","0.04168",1
"38","0.04239",1
"39","0.04448",1
"40","0.04465",1
"41","0.04868",1
"42","0.04881",1
"43","0.04899",1
"44","0.0515",1
"45","0.05578",1
"46","0.05994",1
"47","0.06024",1
"48","0.06038",1
"49","0.06181",1
"50","0.06261",1
"51","0.06307",1
"52","0.06341",1
"53","0.06378",1
"54","0.06459",1
"55","0.06497",1
"56","0.0651",1
"57","0.06587",1
"58","0.06636",1
"59","0.06717",1
"60","0.06735",1
"61","0.0683",1
"62","0.06896",1
"63","0.06933",1
"64","0.06972",1
"65","0.07018",1
"66","0.07116",1
"67","0.07378",1
"68","0.07398",1
"69","0.07528",2
"70","0.07666",1
"71","0.07677",1
"72","0.07706",1
"73","0.07719",1
"74","0.07789",1
"75","0.07911",1
"76","0.07953",1
"77","0.08039",1
"78","0.08055",1
"79","0.08088",1
"80","0.08092",1
"81","0.08093",1
"82","0.08166",1
"83","0.08297",1
"84","0.08332",1
"85","0.08422",1
"86","0.08488",1
"87","0.08618",1
"88","0.08676",1
"89","0.08739",1
"90","0.08948",1
"91","0.09084",1
"92","0.09125",1
"93","0.09208",1
"94","0.09221",1
"95","0.09316",1
"96","0.09361",1
"97","0.09364",1
"98","0.09405",1
"99","0.09406",1
"100","0.09419",1
"101","0.09475",1
"102","0.09497",1
"103","0.09498",1
"104","0.09562",1
"105","0.09677",1
"106","0.09702",1
"107","0.09746",1
"108","0.09764",1
"109","0.09822",1
"110","0.09823",1
"111","0.0983",1
"112","0.09927",1
"113","0.0993",1
"114","0.09976",1
"115","0.1004",1
"116","0.101",1
"117","0.1014",1
"118","0.1016",1
"119","0.1034",1
"120","0.1039",1
"121","0.104",1
"122","0.106",1
"123","0.1062",1
"124","0.1067",1
"125","0.1079",1
"126","0.109",1
"127","0.1103",1
"128","0.111",1
"129","0.1122",2
"130","0.1126",1
"131","0.1137",1
"132","0.1142",1
"133","0.1144",2
"134","0.1159",3
"135","0.116",1
"136","0.1168",1
"137","0.1169",1
"138","0.1186",1
"139","0.1204",1
"140","0.1219",1
"141","0.1223",1
"142","0.1225",3
"143","0.1231",2
"144","0.1245",1
"145","0.1246",1
"146","0.1257",1
"147","0.1266",1
"148","0.1271",1
"149","0.1276",1
"150","0.1293",1
"151","0.13",1
"152","0.1312",1
"153","0.1314",1
"154","0.1329",1
"155","0.135",1
"156","0.136",1
"157","0.1363",1
"158","0.1375",1
"159","0.1378",1
"160","0.1395",1
"161","0.1405",1
"162","0.1421",3
"163","0.1435",1
"164","0.1436",2
"165","0.1439",1
"166","0.1443",1
"167","0.1449",1
"168","0.1459",2
"169","0.1467",1
"170","0.1468",1
"171","0.1471",1
"172","0.1478",1
"173","0.1484",1
"174","0.1494",1
"175","0.1504",1
"176","0.1505",2
"177","0.1506",1
"178","0.1514",1
"179","0.1516",1
"180","0.1522",1
"181","0.153",1
"182","0.156",1
"183","0.1561",1
"184","0.158",1
"185","0.1581",2
"186","0.1585",1
"187","0.1592",1
"188","0.1604",1
"189","0.1608",1
"190","0.161",1
"191","0.1621",1
"192","0.1623",1
"193","0.1624",1
"194","0.1625",2
"195","0.1627",1
"196","0.1647",1
"197","0.165",2
"198","0.1656",1
"199","0.1664",1
"200","0.1671",2
"201","0.1674",1
"202","0.1683",1
"203","0.1687",1
"204","0.1694",1
"205","0.1696",1
"206","0.17",1
"207","0.1706",1
"208","0.1722",2
"209","0.173",1
"210","0.1734",1
"211","0.1739",1
"212","0.1743",1
"213","0.175",1
"214","0.176",1
"215","0.1778",1
"216","0.1782",1
"217","0.179",1
"218","0.1792",1
"219","0.1796",1
"220","0.18",2
"221","0.1808",4
"222","0.1813",1
"223","0.182",1
"224","0.1823",1
"225","0.184",1
"226","0.1841",1
"227","0.1849",1
"228","0.1853",1
"229","0.1854",1
"230","0.1873",2
"231","0.1874",1
"232","0.1876",1
"233","0.1879",2
"234","0.1905",1
"235","0.1918",2
"236","0.1943",1
"237","0.1948",1
"238","0.1959",1
"239","0.198",1
"240","0.1981",1
"241","0.1986",1
"242","0.2001",1
"243","0.2002",1
"244","0.2004",1
"245","0.2009",1
"246","0.2021",1
"247","0.2026",3
"248","0.2037",1
"249","0.2047",1
"250","0.2048",1
"251","0.2049",1
"252","0.2069",2
"253","0.207",1
"254","0.2074",2
"255","0.2075",1
"256","0.2082",1
"257","0.2085",1
"258","0.2088",1
"259","0.2098",1
"260","0.2099",1
"261","0.2101",1
"262","0.2111",1
"263","0.2112",1
"264","0.2118",1
"265","0.2132",1
"266","0.2137",1
"267","0.2153",1
"268","0.2158",2
"269","0.2162",2
"270","0.2167",1
"271","0.2168",1
"272","0.2179",1
"273","0.2181",1
"274","0.2184",1
"275","0.2189",1
"276","0.219",1
"277","0.2201",1
"278","0.2202",1
"279","0.2205",1
"280","0.2214",1
"281","0.2218",1
"282","0.2222",2
"283","0.2224",1
"284","0.2237",1
"285","0.224",1
"286","0.2245",1
"287","0.2246",1
"288","0.2251",1
"289","0.2252",1
"290","0.2253",1
