"","Var1","Freq"
"1","-0.00512",1
"2","-0.003747",1
"3","0.169",1
"4","0.179",1
"5","0.3158",1
"6","0.3425",1
"7","0.3605",1
"8","0.3769",1
"9","0.3774",1
"10","0.3789",1
"11","0.3796",1
"12","0.3836",1
"13","0.3936",1
"14","0.4021",1
"15","0.4027",1
"16","0.4252",1
"17","0.4282",1
"18","0.4291",1
"19","0.4363",1
"20","0.4424",1
"21","0.447",1
"22","0.4574",1
"23","0.4587",1
"24","0.4695",1
"25","0.4767",1
"26","0.4874",1
"27","0.4889",1
"28","0.4902",1
"29","0.4987",1
"30","0.507",1
"31","0.508",1
"32","0.5192",1
"33","0.5197",1
"34","0.523",1
"35","0.5267",1
"36","0.5301",1
"37","0.5315",2
"38","0.535",1
"39","0.5354",1
"40","0.5358",1
"41","0.5365",1
"42","0.5368",1
"43","0.5383",1
"44","0.5401",1
"45","0.5429",2
"46","0.5443",1
"47","0.5444",1
"48","0.5457",1
"49","0.5506",1
"50","0.5552",1
"51","0.5562",1
"52","0.5575",1
"53","0.5581",1
"54","0.5589",1
"55","0.5602",1
"56","0.5617",1
"57","0.5625",1
"58","0.5632",1
"59","0.5655",1
"60","0.5659",1
"61","0.5666",1
"62","0.568",1
"63","0.5697",1
"64","0.5705",1
"65","0.573",1
"66","0.5769",1
"67","0.578",1
"68","0.5789",1
"69","0.5792",1
"70","0.5803",1
"71","0.5838",1
"72","0.5854",1
"73","0.5876",1
"74","0.5907",1
"75","0.5915",1
"76","0.5919",1
"77","0.592",1
"78","0.5923",1
"79","0.5927",1
"80","0.5935",1
"81","0.5939",1
"82","0.5943",1
"83","0.5955",2
"84","0.596",1
"85","0.5961",1
"86","0.5976",1
"87","0.5978",1
"88","0.5988",1
"89","0.6006",1
"90","0.6027",1
"91","0.6051",1
"92","0.6061",1
"93","0.6077",1
"94","0.608",1
"95","0.6098",1
"96","0.6108",1
"97","0.6111",1
"98","0.6112",1
"99","0.6127",1
"100","0.6137",1
"101","0.6139",1
"102","0.6142",1
"103","0.6143",1
"104","0.6147",1
"105","0.6156",1
"106","0.616",1
"107","0.6168",1
"108","0.618",1
"109","0.6187",1
"110","0.6194",1
"111","0.621",1
"112","0.6211",1
"113","0.6214",1
"114","0.6215",1
"115","0.6224",1
"116","0.6225",1
"117","0.623",1
"118","0.6241",1
"119","0.6244",1
"120","0.6253",1
"121","0.6255",1
"122","0.6263",1
"123","0.6265",1
"124","0.628",1
"125","0.6291",1
"126","0.6294",2
"127","0.6296",1
"128","0.63",1
"129","0.6304",1
"130","0.6315",1
"131","0.6317",1
"132","0.6333",2
"133","0.6336",1
"134","0.6343",1
"135","0.6353",1
"136","0.6359",2
"137","0.6365",1
"138","0.6373",1
"139","0.638",1
"140","0.6381",1
"141","0.6388",1
"142","0.6392",1
"143","0.6395",1
"144","0.6397",1
"145","0.6399",1
"146","0.6401",1
"147","0.6411",2
"148","0.6416",1
"149","0.6421",1
"150","0.6423",2
"151","0.6429",1
"152","0.6433",1
"153","0.6439",1
"154","0.6442",1
"155","0.6443",1
"156","0.6445",1
"157","0.6446",1
"158","0.6452",1
"159","0.6456",1
"160","0.6457",1
"161","0.6463",1
"162","0.6468",1
"163","0.6471",1
"164","0.6487",1
"165","0.6492",2
"166","0.6494",1
"167","0.6519",1
"168","0.6522",1
"169","0.6523",1
"170","0.6532",1
"171","0.6533",1
"172","0.6534",1
"173","0.6536",1
"174","0.6539",1
"175","0.6543",1
"176","0.6545",1
"177","0.6548",1
"178","0.6553",2
"179","0.6556",1
"180","0.656",1
"181","0.6562",1
"182","0.6568",1
